,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
17267,1523,538011,SMA YASI LABANG,20531148,S,37,76.65,73.19,72.03,74.73,74.26,93.11,0.0,5,38,11,2016,JAWA TIMUR,KABUPATEN BANGKALAN
23406,31,2202001,SMA NEGERI 1 GIANYAR,50102079,N,320,81.08,73.08,85.07,79.57,85.08,90.26,0.0,22,2,1,2016,BALI,KABUPATEN GIANYAR
23081,261,2015011,SMAN 3 MAWASANGKA,40406670,N,9,76.22,64.89,58.33,25.0,53.61,90.0,0.0,20,15,11,2016,SULAWESI TENGGARA,KABUPATEN BUTON TENGAH
17266,1522,538010,SMA NEGERI 1 KAMAL,20531130,N,215,79.53,73.31,81.05,79.17,72.65,89.35,0.0,5,38,10,2016,JAWA TIMUR,KABUPATEN BANGKALAN
21635,57,1603005,SMA YAYASAN PENDIDIKAN VIDYA DAHANA PATRA BONTANG,30401787,S,88,76.39,74.55,81.08,72.98,79.66,88.41,0.0,16,3,5,2016,KALIMANTAN TIMUR,KOTA BONTANG
17271,1527,538017,SMA NEGERI 1 BANGKALAN,20531146,N,172,81.17,78.7,90.57,84.56,92.03,88.34,0.0,5,38,17,2016,JAWA TIMUR,KABUPATEN BANGKALAN
22471,312,1908039,MA DARUL ITISHAM EMBO,60729386,S,77,79.64,63.04,77.11,64.06,54.87,87.89,0.0,19,8,39,2016,SULAWESI SELATAN,KABUPATEN JENEPONTO
23384,9,2201011,SMA NEGERI 4 DENPASAR,50103124,N,323,80.05,76.69,83.43,81.93,87.21,87.89,0.0,22,1,11,2016,BALI,KOTA DENPASAR
24636,35,2702010,SMA MUHAMMADIYAH 2 KOTA TIDORE KEPULAUAN,60203595,S,11,70.0,57.27,67.95,59.32,80.45,87.73,0.0,27,2,10,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
18058,146,701194,SMA SWASTA EKKLESIA MEDAN,10210708,S,2,64.0,71.0,66.25,88.75,92.5,87.5,0.0,7,1,194,2016,SUMATERA UTARA,KOTA MEDAN
20491,1,1201001,SMAN 1 BANDAR LAMPUNG,10807020,N,117,72.02,72.68,72.01,89.23,61.13,87.33,0.0,12,1,1,2016,LAMPUNG,KOTA BANDAR LAMPUNG
13290,223,203107,SMA SULTHON AULIA BOARDING SCHOOL,69830492,S,36,72.33,71.11,57.78,62.99,68.89,87.29,0.0,2,3,107,2016,JAWA BARAT,KOTA BEKASI
23376,1,2201001,SMA NEGERI 1 DENPASAR,50103127,N,498,78.79,75.68,84.1,77.92,80.99,86.93,0.0,22,1,1,2016,BALI,KOTA DENPASAR
22315,156,1903016,SMA NEGERI 5 PAREPARE,40310832,N,79,75.85,61.65,89.68,78.32,86.58,86.55,0.0,19,3,16,2016,SULAWESI SELATAN,KOTA PAREPARE
24637,36,2702011,SMA NEGERI 9 TIDORE KEPULAUAN,60200953,N,13,66.0,50.92,64.81,62.69,80.77,86.35,0.0,27,2,11,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
14706,113,304001,SMA NEGERI 1 PEKALONGAN,20329517,N,237,77.7,72.95,85.05,85.52,79.99,86.29,0.0,3,4,1,2016,JAWA TENGAH,KOTA PEKALONGAN
18089,177,701249,SMA SWASTA IRAFFLES,10264684,S,2,54.0,71.0,66.25,88.75,85.0,86.25,0.0,7,1,249,2016,SUMATERA UTARA,KOTA MEDAN
24641,40,2702015,SMA MUHAMMADIYAH 3 TIDORE,60203596,S,12,69.33,56.5,78.33,61.25,78.33,86.25,0.0,27,2,15,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
17277,1533,538030,SMA DARUL KHOLIL,20551981,S,13,79.69,69.54,55.0,73.85,69.23,86.15,0.0,5,38,30,2016,JAWA TIMUR,KABUPATEN BANGKALAN
23380,5,2201007,SMA NEGERI 3 DENPASAR,50103125,N,259,78.77,71.47,76.67,70.62,80.82,85.96,0.0,22,1,7,2016,BALI,KOTA DENPASAR
18850,938,726017,SMA NEGERI 1 SEI BAMBAN,10209393,N,45,76.44,66.09,66.0,81.5,91.17,85.94,0.0,7,26,17,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
22505,346,1910018,SMA NEGERI 1 KAHU,40302663,N,225,82.28,80.51,81.48,77.26,90.97,85.93,0.0,19,10,18,2016,SULAWESI SELATAN,KABUPATEN BONE
17265,1521,538009,SMA PGRI 2 BANGKALAN,20531151,S,19,67.58,72.63,64.87,61.05,61.71,85.79,0.0,5,38,9,2016,JAWA TIMUR,KABUPATEN BANGKALAN
24638,37,2702012,SMA SITI AISYAH BUKULASA,60202363,S,10,69.4,58.4,78.0,60.0,77.0,85.75,0.0,27,2,12,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
22971,151,2007007,SMA NEGERI 3 KONAWE SELATAN,40401875,N,82,71.22,68.17,84.09,74.88,68.87,85.7,0.0,20,7,7,2016,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
17262,1518,538005,SMA NEGERI 2 BANGKALAN,20531228,N,239,75.84,74.87,91.65,80.58,86.01,85.64,0.0,5,38,5,2016,JAWA TIMUR,KABUPATEN BANGKALAN
21923,171,1711004,SMA NEGERI 2 SIAU BARAT,40104643,N,11,65.09,73.45,75.0,56.59,39.09,85.45,0.0,17,11,4,2016,SULAWESI UTARA,KABUPATEN KEP. SITARO
20510,20,1201024,SMAN 7 BANDAR LAMPUNG,10807068,N,191,68.82,70.26,72.41,86.78,61.06,85.38,0.0,12,1,24,2016,LAMPUNG,KOTA BANDAR LAMPUNG
23245,135,2104009,SMA NEGERI ILATH,60100979,N,22,66.73,58.18,74.66,67.05,68.41,85.34,0.0,21,4,9,2016,MALUKU,BURU
17263,1519,538007,SMA NEGERI 3 BANGKALAN,20531227,N,166,73.13,73.55,83.63,72.14,79.94,85.3,0.0,5,38,7,2016,JAWA TIMUR,KABUPATEN BANGKALAN
20665,175,1206002,SMAN 2 MENGGALA,10809299,N,44,74.77,66.23,64.49,66.25,84.43,85.11,0.0,12,6,2,2016,LAMPUNG,KABUPATEN TULANG BAWANG
20161,177,1106003,SMAN 3 KAYUAGUNG,10600496,N,121,72.23,61.07,61.16,55.48,74.69,85.02,0.0,11,6,3,2016,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ILIR
24718,117,2705022,SMA NEGERI 22 HALMAHERA SELATAN,60202431,N,64,56.16,64.22,62.15,54.34,67.85,84.92,0.0,27,5,22,2016,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
17268,1524,538012,SMA NEGERI 1 KWANYAR,20531186,N,109,64.92,71.56,85.32,69.89,62.59,84.82,0.0,5,38,12,2016,JAWA TIMUR,KABUPATEN BANGKALAN
20659,169,1205036,SMAN 2 WAY TENONG,10810205,N,19,64.84,71.79,75.66,82.37,91.18,84.74,0.0,12,5,36,2016,LAMPUNG,KABUPATEN LAMPUNG BARAT
22494,335,1910004,SMA NEGERI 1 TELLU SIATTINGE,40302691,N,91,68.02,60.55,82.94,84.92,87.53,84.59,0.0,19,10,4,2016,SULAWESI SELATAN,KABUPATEN BONE
16704,960,525011,SMA NEGERI 1 KAUMAN,20515431,N,247,77.38,66.93,86.86,75.47,82.6,84.52,0.0,5,25,11,2016,JAWA TIMUR,KABUPATEN TULUNGAGUNG
20536,46,1201086,SMAN 16 BANDAR LAMPUNG,10807062,N,87,63.61,62.83,67.27,85.69,61.55,84.31,0.0,12,1,86,2016,LAMPUNG,KOTA BANDAR LAMPUNG
12745,137,103008,SMA KRISTEN 1 BPK PENABUR,20101306,S,215,79.09,80.99,94.65,89.73,85.94,84.2,0.0,1,3,8,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
18017,105,701130,SMA SWASTA DHARMA SAKTI MEDAN,10210716,S,3,58.67,71.33,69.17,86.67,97.5,84.17,0.0,7,1,130,2016,SUMATERA UTARA,KOTA MEDAN
18673,761,717002,SMA NEGERI 1 MATAULI PANDAN,10206580,N,227,77.71,68.85,73.28,79.27,78.08,84.15,0.0,7,17,2,2016,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH
12609,1,101001,SMA NEGERI 68,20100199,N,180,78.66,77.63,84.1,81.42,80.36,83.96,0.0,1,1,1,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
24640,39,2702014,SMA NEGERI 10 TIDORE KEPULAUAN,60202076,N,43,71.91,63.3,75.35,56.57,76.98,83.84,0.0,27,2,14,2016,MALUKU UTARA,KOTA TIDORE KEPULAUAN
22499,340,1910011,SMA NEGERI 1 ULAWENG,40302551,N,111,57.23,56.9,75.2,71.51,80.97,83.76,0.0,19,10,11,2016,SULAWESI SELATAN,KABUPATEN BONE
25376,436,3008174,SMA PAHOA,20616061,S,124,76.11,76.37,89.94,81.85,75.85,83.69,0.0,30,8,174,2016,BANTEN,KABUPATEN TANGERANG
20522,32,1201040,SMAN 5 BANDAR LAMPUNG,10807066,N,153,71.88,71.24,68.86,82.61,62.5,83.64,0.0,12,1,40,2016,LAMPUNG,KOTA BANDAR LAMPUNG
12620,12,101015,SMA NEGERI 77,20100201,N,108,78.52,79.56,90.09,86.67,78.4,83.5,0.0,1,1,15,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
24914,45,2904004,SMA NEGERI 1 LEMITO,40500758,N,47,68.72,57.57,63.4,58.4,74.95,83.46,0.0,29,4,4,2016,GORONTALO,KABUPATEN POHUWATO
17269,1525,538013,SMA NEGERI 1 AROSBAYA,20531147,N,166,74.41,71.0,78.75,68.61,76.1,83.43,0.0,5,38,13,2016,JAWA TIMUR,KABUPATEN BANGKALAN
16720,976,525512,MA DIPONEGORO BANDUNG,20584798,S,27,71.93,66.07,77.69,72.41,68.52,83.43,0.0,5,25,512,2016,JAWA TIMUR,KABUPATEN TULUNGAGUNG
22651,492,1916009,SMA NEGERI 1 PASIMARANNU,40312537,N,48,63.96,50.54,76.77,76.61,61.72,83.28,0.0,19,16,9,2016,SULAWESI SELATAN,KABUPATEN SELAYAR
15311,718,327500,MA NEGERI DEMAK,20362895,N,175,69.02,72.42,72.31,68.04,67.41,83.24,0.0,3,27,500,2016,JAWA TENGAH,KABUPATEN DEMAK
17220,1476,537012,SMA MAMBAUL ULUM ARJASA,20529939,S,50,77.04,74.64,79.85,80.9,64.05,83.2,0.0,5,37,12,2016,JAWA TIMUR,KABUPATEN SUMENEP
23436,61,2205006,SMA NEGERI 2 AMLAPURA,50102779,N,190,79.18,71.88,80.0,86.03,82.08,83.14,0.0,22,5,6,2016,BALI,KABUPATEN KARANGASEM
16881,1137,529028,SMA TUNAS LUHUR,20546530,S,43,77.44,73.4,89.94,78.08,90.93,83.14,0.0,5,29,28,2016,JAWA TIMUR,KABUPATEN PROBOLINGGO
